,Top10,appid
46,"['appid', 'rpg', 'action', 'first_person', 'fantasy', 'adventure', 'dark_fantasy', 'multiple_endings', 'story_rich', 'singleplayer']",2100
47,"['appid', 'fps', 'action', 'multiplayer', 'competitive', 'shooter', 'first_person', 'singleplayer', 'moddable', 'e_sports']",2200
48,"['appid', 'fps', 'action', 'shooter', 'horror', 'singleplayer', 'multiplayer', 'first_person', 'atmospheric', 'adventure']",2210
49,"['appid', 'fps', 'action', 'singleplayer', 'first_person', 'shooter', 'pixel_graphics', 'moddable', 'adventure', 'great_soundtrack']",2270
50,"['appid', 'fps', 'action', 'great_soundtrack', 'moddable', 'singleplayer', 'shooter', 'first_person', 'multiplayer', 'dinosaurs']",2280
51,"['appid', 'fps', 'action', 'shooter', 'singleplayer', 'first_person', 'moddable', 'multiplayer', 'great_soundtrack', 'zombies']",2290
52,"['appid', 'fps', 'action', 'shooter', 'moddable', 'first_person', 'multiplayer', 'singleplayer', 'zombies', 'great_soundtrack']",2300
53,"['appid', 'fps', 'action', 'shooter', 'multiplayer', 'singleplayer', 'first_person', 'great_soundtrack', 'moddable', 'horror']",2310
54,"['appid', 'action', 'fps', 'shooter', 'great_soundtrack', 'singleplayer', 'multiplayer', 'first_person', 'moddable', 'co_op']",2320
55,"['appid', 'action', 'fps', 'shooter', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",2330
56,"['appid', 'action', 'fps', 'shooter', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",2340
57,"['appid', 'action', 'fps', 'competitive', 'shooter', 'multiplayer', 'dinosaurs', 'horror', 'heist', 'great_soundtrack']",2350
58,"['appid', 'action', 'fps', 'fantasy', 'dark_fantasy', 'class_based', 'shooter', 'singleplayer', 'rpg', 'free_to_play']",2360
59,"['appid', 'action', 'fps', 'shooter', 'fantasy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny']",2370
60,"['appid', 'action', 'fps', 'fantasy', 'shooter', 'dark_fantasy', 'first_person', 'singleplayer', 'horror', 'heist']",2390
61,"['appid', 'multiplayer', 'action', 'first_person', 'rpg', 'funny', 'survival', 'singleplayer', 'simulation', 'fps']",2400
62,"['appid', 'action', 'rpg', 'singleplayer', 'fps', 'first_person', 'horror', 'heist', 'great_soundtrack', 'funny']",2420
63,"['appid', 'action', 'multiplayer', 'fps', 'comedy', 'funny', 'shooter', 'first_person', 'dinosaurs', 'horror']",2450
64,"['appid', 'action', 'shooter', 'singleplayer', 'co_op', 'horror', 'adventure', 'multiplayer', 'building', 'driving']",2500
65,"['appid', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",2520
66,"['appid', 'shooter', 'action', '2d', 'singleplayer', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",2540
67,"['appid', 'rpg', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2570
68,"['appid', 'action', 'fps', 'shooter', 'first_person', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack']",2590
69,"['appid', 'rpg', 'singleplayer', 'action', 'horror', 'atmospheric', 'story_rich', 'great_soundtrack', 'first_person', 'third_person']",2600
70,"['appid', 'action', 'open_world', 'third_person_shooter', 'adventure', 'shooter', 'singleplayer', 'atmospheric', 'third_person', 'sandbox']",2610
71,"['appid', 'fps', 'action', 'multiplayer', 'singleplayer', 'shooter', 'war', 'first_person', 'military', 'atmospheric']",2620
72,"['appid', 'action', 'fps', 'multiplayer', 'singleplayer', 'shooter', 'war', 'first_person', 'atmospheric', 'military']",2630
73,"['appid', 'action', 'fps', 'multiplayer', 'singleplayer', 'shooter', 'military', 'war', 'first_person', 'atmospheric']",2640
74,"['appid', 'simulation', 'sandbox', 'building', 'strategy', 'singleplayer', 'funny', 'moddable', 'multiplayer', 'open_world']",2700
75,"['appid', 'action', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2710
76,"['appid', 'action', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2720
77,"['appid', 'action', 'simulation', 'shooter', 'fps', 'tactical', 'military', 'team_based', 'heist', 'funny']",2780
78,"['appid', 'strategy', 'simulation', 'open_world', 'singleplayer', 'trading', 'sandbox', 'action', 'great_soundtrack', 'funny']",2800
79,"['appid', 'simulation', 'strategy', 'sandbox', 'singleplayer', 'open_world', 'action', 'trading', 'funny', 'free_to_play']",2810
80,"['appid', 'simulation', 'sandbox', 'strategy', 'open_world', 'trading', 'singleplayer', 'action', 'great_soundtrack', 'moddable']",2820
81,"['appid', 'simulation', 'strategy', 'singleplayer', 'trading', 'sandbox', 'open_world', 'action', 'funny', 'free_to_play']",2840
82,"['appid', 'simulation', 'strategy', 'singleplayer', 'action', 'sandbox', 'open_world', 'driving', 'exploration', 'fps']",2850
83,"['appid', 'simulation', 'action', 'sandbox', 'singleplayer', 'open_world', 'trading', 'strategy', 'atmospheric', 'moddable']",2870
84,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2900
85,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2910
86,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",2920
87,"['appid', 'racing', 'multiplayer', 'great_soundtrack', 'action', 'singleplayer', 'driving', 'simulation', 'physics', 'atmospheric']",2990
88,"['appid', 'racing', 'multiplayer', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",3010
