,Top10,appid
5793,"['appid', 'action', 'racing', 'comedy', 'simulation', 'singleplayer', 'first_person', 'atmospheric', 'story_rich', 'adventure']",363460
5794,"['appid', 'action', 'strategy', 'rpg', 'adventure', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",363490
5795,"['appid', 'adventure', 'horror', 'atmospheric', 'pixel_graphics', 'comedy', 'driving', 'heist', 'great_soundtrack', 'funny']",363500
5796,"['appid', 'rpg', 'adventure', 'simulation', 'action', 'sandbox', 'open_world', 'atmospheric', 'zombies', '2d']",363510
5797,"['appid', 'action', 'rpg', 'adventure', 'survival', 'crafting', 'open_world', 'singleplayer', 'exploration', 'fps']",363520
5798,"['appid', 'simulation', 'building', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",363530
5799,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",363550
5800,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",363580
5801,"['appid', 'simulation', 'funny', 'singleplayer', 'crafting', 'rpg', 'atmospheric', 'dinosaurs', 'heist', 'great_soundtrack']",363600
5802,"['appid', 'action', 'third_person_shooter', 'shooter', 'singleplayer', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",363610
5803,"['appid', 'simulation', 'action', 'funny', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'free_to_play', 'first_person']",363620
5804,"['appid', 'singleplayer', 'action', 'atmospheric', 'great_soundtrack', 'dinosaurs', 'horror', 'heist', 'funny', 'free_to_play']",363650
5805,"['appid', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",363660
5806,"['appid', 'adventure', 'singleplayer', '2d', 'action', 'great_soundtrack', 'pixel_graphics', 'exploration', 'driving', 'horror']",363670
5807,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'tactical', 'action', 'fantasy', 'co_op', 'survival', 'great_soundtrack']",363680
5808,"['appid', '2d', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",363790
5809,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",363840
5810,"['appid', 'rpg', '2d', 'singleplayer', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",363890
5811,"['appid', 'great_soundtrack', 'zombies', 'moba', 'horror', 'heist', 'funny', 'free_to_play', 'first_person', 'fantasy']",363900
5812,"['appid', 'action', '2d', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",363920
5813,"['appid', 'zombies', 'rpg', 'survival', 'strategy', 'adventure', 'simulation', 'post_apocalyptic', 'action', 'singleplayer']",363930
5814,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",363940
5815,"['appid', 'adventure', 'action', 'rpg', 'first_person', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",363950
5816,"['appid', 'strategy', 'rpg', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",363960
5817,"['appid', 'free_to_play', 'singleplayer', '2d', 'rpg', 'adventure', 'funny', 'fantasy', 'strategy', 'multiplayer']",363970
5818,"['appid', 'simulation', 'singleplayer', 'atmospheric', 'great_soundtrack', 'story_rich', '2d', 'strategy', 'fantasy', 'first_person']",363980
5819,"['appid', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364000
5820,"['appid', 'action', 'adventure', 'horror', 'dinosaurs', 'moba', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364050
5821,"['appid', 'action', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364060
5822,"['appid', 'action', 'zombies', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364100
5823,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364130
5824,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364190
5825,"['appid', 'strategy', 'rpg', 'fantasy', 'adventure', 'tactical', 'singleplayer', 'great_soundtrack', 'story_rich', 'pixel_graphics']",364200
5826,"['appid', 'adventure', 'pixel_graphics', 'horror', 'action', '2d', 'singleplayer', 'atmospheric', 'funny', 'great_soundtrack']",364230
5827,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364240
5828,"['appid', 'action', 'shooter', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364250
5829,"['appid', 'adventure', 'rpg', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364260
5830,"['appid', 'rpg', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364270
5831,"['appid', 'strategy', 'survival', 'sandbox', 'tactical', 'exploration', 'simulation', 'singleplayer', 'atmospheric', 'crafting']",364300
5832,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364350
5833,"['appid', 'strategy', 'fantasy', 'war', 'multiplayer', 'tactical', 'dark_fantasy', 'action', 'singleplayer', 'atmospheric']",364360
5834,"['appid', 'adventure', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364370
5835,"['appid', 'simulation', 'multiplayer', 'first_person', 'atmospheric', 'singleplayer', 'exploration', 'dark_fantasy', 'heist', 'great_soundtrack']",364380
5836,"['appid', 'adventure', 'horror', 'psychological_horror', 'story_rich', 'atmospheric', 'great_soundtrack', 'mature', '2d', 'heist']",364390
5837,"['appid', 'rpg', 'multiplayer', 'pixel_graphics', '2d', 'adventure', 'action', 'co_op', 'survival', 'crafting']",364420
5838,"['appid', 'free_to_play', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'first_person', 'fantasy']",364450
5839,"['appid', 'free_to_play', 'multiplayer', 'strategy', 'singleplayer', 'fantasy', 'great_soundtrack', 'atmospheric', 'action', 'dinosaurs']",364470
5840,"['appid', '2d', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364480
5841,"['appid', 'action', 'rpg', 'open_world', '2d', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364510
5842,"['appid', 'action', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364630
5843,"['appid', 'rpg', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364640
5844,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364660
5845,"['appid', 'action', 'rpg', 'adventure', 'strategy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364670
5846,"['appid', 'action', 'adventure', '2d', 'driving', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny']",364690
5847,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364700
5848,"['appid', 'action', 'third_person_shooter', 'funny', 'singleplayer', 'shooter', 'dark_fantasy', 'heist', 'great_soundtrack', 'free_to_play']",364710
5849,"['appid', 'action', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364720
5850,"['appid', 'rpg', 'strategy', 'singleplayer', 'fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364740
5851,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364750
5852,"['appid', 'action', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364770
5853,"['appid', 'rpg', 'adventure', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364790
5854,"['appid', 'adventure', 'action', 'simulation', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364800
5855,"['appid', 'simulation', 'action', 'adventure', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364810
5856,"['appid', 'action', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",364820
5857,"['appid', 'action', 'great_soundtrack', 'dinosaurs', 'moba', 'horror', 'heist', 'funny', 'free_to_play', 'first_person']",364830
5858,"['appid', 'action', 'racing', 'great_soundtrack', 'horror', 'heist', 'funny', 'free_to_play', 'first_person', 'fantasy']",364840
5859,"['appid', 'strategy', 'adventure', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364850
5860,"['appid', 'action', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364880
5861,"['appid', 'action', 'shooter', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364890
5862,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364900
5863,"['appid', 'action', 'first_person', 'fps', 'singleplayer', 'shooter', 'atmospheric', 'psychological_horror', 'dinosaurs', 'heist']",364910
5864,"['appid', 'multiplayer', 'mature', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364930
5865,"['appid', 'simulation', 'singleplayer', 'great_soundtrack', 'dark_fantasy', 'horror', 'heist', 'funny', 'free_to_play', 'first_person']",364940
5866,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",364970
5867,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",364980
5868,"['appid', 'horror', 'action', 'fps', 'adventure', 'first_person', 'shooter', 'mature', 'zombies', 'psychological_horror']",365020
5869,"['appid', 'free_to_play', 'strategy', '2d', 'singleplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny']",365050
5870,"['appid', 'action', 'adventure', 'rpg', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365060
5871,"['appid', 'free_to_play', 'simulation', 'adventure', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'first_person']",365070
5872,"['appid', 'rpg', 'mature', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365080
5873,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365090
5874,"['appid', 'rpg', 'mature', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365110
5875,"['appid', 'action', 'adventure', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365120
5876,"['appid', 'adventure', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365140
5877,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365150
5878,"['appid', 'adventure', 'survival', 'atmospheric', 'first_person', 'open_world', 'singleplayer', 'exploration', 'horror', 'story_rich']",365160
5879,"['appid', 'strategy', 'tactical', 'singleplayer', 'crime', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365190
5880,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365200
5881,"['appid', 'rpg', 'mature', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365210
5882,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365240
5883,"['appid', 'simulation', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365260
5884,"['appid', 'free_to_play', 'rpg', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'first_person']",365270
5885,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365280
5886,"['appid', 'horror', 'first_person', 'zombies', 'moba', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'fantasy']",365290
5887,"['appid', 'free_to_play', 'action', 'shooter', 'multiplayer', 'zombies', 'horror', 'first_person', 'singleplayer', 'fps']",365300
5888,"['appid', 'racing', 'action', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365310
5889,"['appid', 'horror', 'atmospheric', 'dinosaurs', 'moba', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365320
5890,"['appid', 'action', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365330
5891,"['appid', 'action', 'adventure', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365340
5892,"['appid', 'adventure', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365350
5893,"['appid', 'strategy', 'rpg', 'open_world', 'sandbox', 'singleplayer', 'tactical', 'fantasy', 'great_soundtrack', 'funny']",365360
5894,"['appid', 'action', 'adventure', 'rpg', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365400
5895,"['appid', 'strategy', 'simulation', 'great_soundtrack', 'rpg', 'action', 'adventure', 'funny', 'free_to_play', 'dark_fantasy']",365420
5896,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365430
5897,"['appid', 'sandbox', '2d', 'action', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365440
5898,"['appid', 'simulation', 'singleplayer', 'great_soundtrack', 'story_rich', 'adventure', 'atmospheric', '2d', 'multiplayer', 'horror']",365450
5899,"['appid', 'racing', 'action', 'multiplayer', 'adventure', 'war', 'story_rich', 'dinosaurs', 'heist', 'great_soundtrack']",365460
5900,"['appid', 'strategy', 'rpg', 'tactical', 'singleplayer', 'story_rich', 'fantasy', 'funny', 'free_to_play', 'first_person']",365480
5901,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365500
5902,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365510
5903,"['appid', 'strategy', 'war', 'tactical', 'singleplayer', 'fantasy', 'dinosaurs', 'driving', 'exploration', 'fps']",365560
5904,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365580
5905,"['appid', 'open_world', 'multiplayer', 'third_person_shooter', 'action', 'shooter', 'co_op', 'rpg', 'online_co_op', 'post_apocalyptic']",365590
5906,"['appid', 'simulation', 'action', 'adventure', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365620
5907,"['appid', 'action', 'great_soundtrack', 'singleplayer', '2d', 'dinosaurs', 'horror', 'heist', 'funny', 'free_to_play']",365660
5908,"['appid', 'free_to_play', 'singleplayer', 'action', 'multiplayer', 'sandbox', 'psychological_horror', 'dinosaurs', 'heist', 'great_soundtrack']",365670
5909,"['appid', 'action', 'multiplayer', 'co_op', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365680
5910,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365730
5911,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",365750
5912,"['appid', 'action', 'fps', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365760
5913,"['appid', 'action', 'great_soundtrack', 'singleplayer', 'strategy', 'atmospheric', 'dinosaurs', 'horror', 'heist', 'funny']",365770
5914,"['appid', 'simulation', 'strategy', 'post_apocalyptic', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365800
5915,"['appid', 'action', 'simulation', 'shooter', 'multiplayer', 'adventure', 'singleplayer', 'third_person', 'competitive', 'great_soundtrack']",365810
5916,"['appid', 'action', 'physics', 'great_soundtrack', 'atmospheric', 'fantasy', 'story_rich', 'singleplayer', 'dinosaurs', 'heist']",365850
5917,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365860
5918,"['appid', 'action', 'adventure', 'rpg', 'open_world', 'great_soundtrack', 'pixel_graphics', 'heist', 'funny', 'free_to_play']",365870
5919,"['appid', 'adventure', 'first_person', 'atmospheric', 'story_rich', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",365880
5920,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'tactical', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",365890
5921,"['appid', 'pixel_graphics', 'rpg', 'adventure', 'singleplayer', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365900
5922,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",365930
5923,"['appid', 'racing', 'simulation', 'multiplayer', 'driving', 'singleplayer', '2d', 'dark_fantasy', 'heist', 'great_soundtrack']",365960
5924,"['appid', 'simulation', 'singleplayer', 'funny', 'first_person', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'free_to_play']",365980
5925,"['appid', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366000
5926,"['appid', 'action', 'shooter', '2d', 'pixel_graphics', 'great_soundtrack', 'singleplayer', 'dinosaurs', 'heist', 'funny']",366010
5927,"['appid', 'action', 'adventure', 'dinosaurs', 'singleplayer', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366040
5928,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366050
5929,"['appid', 'action', 'adventure', 'rpg', 'horror', 'dinosaurs', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366060
5930,"['appid', 'survival', 'building', 'strategy', 'multiplayer', 'sandbox', 'open_world', 'adventure', 'crafting', 'zombies']",366090
5931,"['appid', 'strategy', 'rpg', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366100
5932,"['appid', 'adventure', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366180
5933,"['appid', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366210
5934,"['appid', 'open_world', 'rpg', 'sandbox', 'crafting', 'survival', 'building', 'adventure', 'multiplayer', 'co_op']",366220
5935,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366230
5936,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366240
5937,"['appid', 'action', '2d', 'co_op', 'shooter', 'pixel_graphics', 'funny', 'multiplayer', 'adventure', 'singleplayer']",366250
5938,"['appid', 'action', '2d', 'shooter', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366260
5939,"['appid', 'action', '2d', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366270
5940,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366280
5941,"['appid', 'simulation', 'multiplayer', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366290
5942,"['appid', 'adventure', 'atmospheric', 'great_soundtrack', '2d', 'singleplayer', 'fantasy', 'dinosaurs', 'horror', 'heist']",366320
5943,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366350
5944,"['appid', 'adventure', 'horror', 'dinosaurs', 'moba', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366380
5945,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366410
5946,"['appid', 'action', 'strategy', 'multiplayer', 'rpg', 'fps', 'moba', 'first_person', 'free_to_play', 'heist']",366440
5947,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366460
5948,"['appid', 'rpg', 'adventure', 'fantasy', 'first_person', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",366510
5949,"['appid', 'free_to_play', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'first_person', 'fantasy']",366530
5950,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366550
5951,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366570
5952,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366580
5953,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366590
5954,"['appid', 'action', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366600
5955,"['appid', 'action', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366610
5956,"['appid', 'action', '2d', 'multiplayer', 'pixel_graphics', 'shooter', 'singleplayer', 'fantasy', 'exploration', 'fps']",366620
5957,"['appid', 'rpg', 'action', 'adventure', 'fantasy', 'great_soundtrack', 'open_world', 'horror', 'heist', 'funny']",366640
5958,"['appid', 'adventure', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366670
5959,"['appid', 'action', 'simulation', 'strategy', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",366690
5960,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366700
5961,"['appid', 'strategy', 'multiplayer', 'singleplayer', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366760
5962,"['appid', 'adventure', 'horror', 'dinosaurs', 'moba', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366780
5963,"['appid', 'adventure', 'free_to_play', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'first_person']",366800
5964,"['appid', 'rpg', 'action', 'adventure', 'fantasy', 'first_person', 'dinosaurs', 'horror', 'heist', 'great_soundtrack']",366810
5965,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",366860
5966,"['appid', 'adventure', 'horror', 'first_person', 'atmospheric', 'psychological_horror', 'great_soundtrack', 'dinosaurs', 'heist', 'funny']",366870
5967,"['appid', 'action', 'adventure', 'zombies', 'survival', '2d', 'driving', 'moba', 'horror', 'heist']",366890
5968,"['appid', 'simulation', 'strategy', 'rpg', 'exploration', 'survival', 'story_rich', 'adventure', 'singleplayer', '2d']",366910
5969,"['appid', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366920
5970,"['appid', 'action', 'horror', 'fps', 'shooter', 'singleplayer', 'atmospheric', 'dinosaurs', 'heist', 'great_soundtrack']",366960
5971,"['appid', 'action', 'great_soundtrack', 'singleplayer', '2d', 'dinosaurs', 'horror', 'heist', 'funny', 'free_to_play']",366970
5972,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",366990
5973,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",367000
5974,"['appid', 'adventure', 'horror', 'story_rich', 'dark_fantasy', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367010
5975,"['appid', 'simulation', 'adventure', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367020
5976,"['appid', 'zombies', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person', 'fantasy']",367030
5977,"['appid', 'action', 'psychological_horror', 'simulation', 'horror', 'dinosaurs', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",367040
5978,"['appid', 'action', 'pixel_graphics', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367050
5979,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367060
5980,"['appid', 'adventure', 'action', 'rpg', 'pixel_graphics', '2d', 'singleplayer', 'heist', 'great_soundtrack', 'funny']",367080
5981,"['appid', 'adventure', 'rpg', 'post_apocalyptic', 'pixel_graphics', 'survival', 'heist', 'great_soundtrack', 'funny', 'free_to_play']",367110
5982,"['appid', 'free_to_play', 'mature', 'simulation', 'singleplayer', 'choices_matter', 'fantasy', 'story_rich', 'great_soundtrack', 'comedy']",367120
5983,"['appid', 'action', 'shooter', '2d', 'singleplayer', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",367140
5984,"['appid', 'strategy', 'simulation', 'dark_fantasy', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367220
5985,"['appid', 'rpg', 'action', 'adventure', 'fps', 'dinosaurs', 'horror', 'heist', 'great_soundtrack', 'funny']",367240
5986,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367260
5987,"['appid', 'action', 'fps', 'multiplayer', 'simulation', 'first_person', 'singleplayer', 'tactical', 'co_op', 'exploration']",367270
5988,"['appid', 'action', 'dinosaurs', 'moba', 'horror', 'heist', 'great_soundtrack', 'funny', 'free_to_play', 'first_person']",367300
5989,"['appid', 'strategy', 'action', 'shooter', 'tactical', 'great_soundtrack', 'dark_fantasy', 'heist', 'funny', 'free_to_play']",367340
