,appid,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
25,730,0,12973,0,0,0,0,0,5594,0,11749,0,0,0,0,0,0,20508,0,9180,0,0,0,0,0,0,0,5854,0,3239,16566,0,7271,0,0,0,0,0,7916,0,0,0,15483,0,0,0,5573,0,10277,12458,0,0,4067,5488,0,8406
26,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1200,0,110,0,14,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,43,0,0,64,0,0,0,0,0,0,0,0,0,0,0,55,36,55,0,18,0,46,27,0,0,0,33,0,0
28,1250,0,832,100,0,0,0,162,1111,102,0,0,0,0,0,0,0,1148,0,337,0,0,202,0,764,0,0,0,0,283,757,0,673,0,0,0,0,0,0,0,0,0,544,0,166,0,0,895,0,421,0,0,0,0,1126,0
29,1300,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0
30,1309,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0
31,1313,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0
32,1500,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,91,0,0,0,0,0,0,0,0,0
33,1510,35,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,105,25,114,0,0,0,0,0,0,0,0,0
34,1520,31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,94,0,0,0,0,0,0,11,0,0,0,0,0,40,21,0,202,0,25,0,0,0,0,31,0,0
35,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,29,0,0,0,0,0,0,0,0,0
36,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,37,0,0,0,0,0,0,0,0,0
37,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,58,0,0,0,0,0,0,0,0,0
38,1630,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
39,1640,0,0,0,31,0,0,0,0,0,0,0,0,27,0,0,0,0,24,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,66,0,17,0,0,0,0,0,0,0
40,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,32,0,0,0,0,0,0,0,0,0
41,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,47,0,0,0,0,0,0,0,0,0
42,1700,0,36,29,69,0,0,0,0,0,0,0,0,63,0,0,18,0,66,83,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,50,29,0,0,0,0,0,0,0,0,0,0
43,1840,0,114,0,0,0,0,0,0,97,0,31,0,0,0,0,0,0,0,32,370,115,24,0,33,0,0,0,0,62,32,0,0,0,0,0,0,0,0,0,0,154,0,0,86,0,0,0,0,0,0,0,0,0,0,0
44,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,67,0,0,0,0,0,0,0,0,0
